"locus"	"pdbid"	"qstart2"	"qend2"	"sstart2"	"send2"	"strain_type"	"p_value"
"YPR110C"	"4c2m@C"	1	305	31	335	"glycerol_high"	"NA"
"YPR110C"	"4c2m@R"	1	305	31	335	"glycerol_high"	"NA"
"YPR110C"	"6eu3@C"	1	335	1	335	"glycerol_high"	"NA"
"YDL164C"	"2od8@B"	1	11	35	45	"glycerol_high"	"NA"
"YOR095C"	"1xtz@A"	1	239	19	257	"glycerol_high"	"0.9985"
"YJL101C"	"3lvw@A"	1	668	2	669	"glycerol_high"	"0.4329"
"YJL101C"	"3ig8@A"	1	668	2	669	"glycerol_high"	"0.4617"
"YJL101C"	"3lvv@A"	1	668	2	669	"glycerol_high"	"0.4343"
"YDR404C"	"5ot2@G"	1	171	1	171	"glycerol_high"	"NA"
"YDR404C"	"3po2@G"	1	171	1	171	"glycerol_high"	"NA"
"YDR404C"	"5sva@G"	1	171	1	171	"glycerol_high"	"NA"
"YDR404C"	"3hou@G"	1	171	1	171	"glycerol_high"	"NA"
"YDR404C"	"3hou@S"	1	171	1	171	"glycerol_high"	"NA"
"YDR404C"	"4by7@G"	1	171	1	171	"glycerol_high"	"NA"
"YDR404C"	"3po3@G"	1	171	1	171	"glycerol_high"	"NA"
"YDR404C"	"4bxx@G"	1	171	1	171	"glycerol_high"	"NA"
"YDR404C"	"3j1n@G"	1	171	1	171	"glycerol_high"	"NA"
"YPR187W"	"3m3y@F"	1	84	72	155	"glycerol_high"	"0.8033"
"YPR187W"	"4bxx@F"	1	84	72	155	"glycerol_high"	"0.7549"
"YPR187W"	"6bm4@F"	1	84	72	155	"glycerol_high"	"0.7902"
"YPR187W"	"6eu3@F"	1	83	71	153	"glycerol_high"	"0.7276"
"YPR187W"	"3s1r@F"	1	85	71	155	"glycerol_high"	"0.7362"
"YPR187W"	"2nvq@F"	1	85	71	155	"glycerol_high"	"0.7506"
"YPR187W"	"3s1q@F"	1	85	71	155	"glycerol_high"	"0.744"
"YPR187W"	"3rzo@F"	1	85	71	155	"glycerol_high"	"0.7353"
"YPR187W"	"3po2@F"	1	87	69	155	"glycerol_high"	"0.7178"
"YPR187W"	"3cqz@F"	1	84	72	155	"glycerol_high"	"0.7466"
"YPR187W"	"5sva@F"	1	84	72	155	"glycerol_high"	"0.7488"
"YPR187W"	"4c3i@F"	1	100	55	154	"glycerol_high"	"0.5786"
"YPR187W"	"4by7@F"	1	87	69	155	"glycerol_high"	"0.7288"
"YPR187W"	"1k83@F"	1	84	72	155	"glycerol_high"	"0.7273"
"YPR187W"	"3s17@F"	1	85	71	155	"glycerol_high"	"0.734"
"YPR187W"	"3rzd@F"	1	85	71	155	"glycerol_high"	"0.7471"
"YPR187W"	"3s16@F"	1	85	71	155	"glycerol_high"	"0.752"
"YPR187W"	"3po3@F"	1	84	72	155	"glycerol_high"	"0.7428"
"YPR187W"	"3s15@F"	1	85	71	155	"glycerol_high"	"0.7607"
"YPR187W"	"4c3h@F"	1	100	55	154	"glycerol_high"	"0.5796"
"YPR187W"	"3gtl@F"	1	84	72	155	"glycerol_high"	"0.7828"
"YPR187W"	"1twa@F"	1	83	72	154	"glycerol_high"	"0.7333"
"YPR187W"	"1i50@F"	1	84	72	155	"glycerol_high"	"0.727"
"YPR187W"	"2nvt@F"	1	85	71	155	"glycerol_high"	"0.7534"
"YPR187W"	"3s14@F"	1	85	71	155	"glycerol_high"	"0.7362"
"YPR187W"	"3hou@F"	1	87	69	155	"glycerol_high"	"0.7211"
"YPR187W"	"3hou@R"	1	87	69	155	"glycerol_high"	"0.7193"
"YPR187W"	"1i6h@F"	1	84	72	155	"glycerol_high"	"0.73"
"YPR187W"	"5ot2@F"	1	87	69	155	"glycerol_high"	"0.7068"
"YPR187W"	"1twg@F"	1	83	72	154	"glycerol_high"	"0.7489"
"YPR187W"	"3s2d@F"	1	85	71	155	"glycerol_high"	"0.749"
"YPR187W"	"6blp@F"	1	84	72	155	"glycerol_high"	"0.7818"
"YPR187W"	"3s1n@F"	1	85	71	155	"glycerol_high"	"0.7498"
"YPR187W"	"4y7n@F"	1	84	72	155	"glycerol_high"	"0.7854"
"YPR187W"	"1twf@F"	1	84	72	155	"glycerol_high"	"0.7123"
"YPR187W"	"3s2h@F"	1	85	71	155	"glycerol_high"	"0.738"
